LGA,Fatalities
Mount Marshall (S),1
Mount Remarkable (DC),6
Moyne (S),8
Mundaring (S),17
Murray (S),19
Murray Bridge (RC),18
Murray River,5
Murrindindi (S),22
Murrumbidgee,6
Muswellbrook,15
Nambucca,19
Nannup (S),3
Naracoorte and Lucindale (DC),14
Narrabri,15
Narrandera,6
Narrogin (S),5
Narromine,16
Nedlands (C),3
Newcastle,32
Nillumbik (S),8
Noosa (S),8
North Burnett (R),11
North Sydney,7
Northam (S),20
Northampton (S),5
Northern Areas (DC),2
Northern Beaches,21
Northern Grampians (S),11
Northern Midlands (M),11
Northern Peninsula Area (R),2
Norwood Payneham St Peters (C),4
Oberon,6
Onkaparinga (C),28
Orange,9
Orroroo/Carrieton (DC),1
Palmerston (C),10
Parkes,12
Parramatta,40
Penrith,35
Perenjori (S),1
Perth (C),9
Pingelly (S),2
Plantagenet (S),12
Playford (C),34
Pormpuraaw (S),1
Port Adelaide Enfield (C),20
Port Augusta (C),11
Port Hedland (T,1
Port Hedland (T),12
Port Lincoln (C),1
Port Macquarie-Hastings,28
Port Phillip (C),7
Port Pirie City and Dists (M),15
Port Stephens,38
Prospect (C),3
Pyrenees (S),13
Quairading (S),4
Queanbeyan-Palerang Regional,13
Quilpie (S),1
Randwick,15
Ravensthorpe (S),2
Redland (C),6
Renmark Paringa (DC),4
Richmond Valley,20
Robe (DC),2
Rockhampton (R),14
Rockingham (C),22
Roper Gulf (R),22
Ryde,14
Salisbury (C),33
Sandstone (S),2
Scenic Rim (R),17
Serpentine-Jarrahdale (S),21
Shark Bay (S),1
Shellharbour,9
Shoalhaven,54
Singleton,35
Snowy Monaro Regional,27
Snowy Valleys,16
Somerset (R),19
Sorell (M),3
South Burnett (R),15
South Gippsland (S),24
South Perth (C),3
Southern Downs (R),8
Southern Grampians (S),8
Southern Mallee (DC),1
Southern Midlands (M),9
Stirling (C),33
Stonnington (C),9
Strathbogie (S),11
Strathfield,8
Streaky Bay (DC),5
Subiaco (C),1
Sunshine Coast (R),26
Surf Coast (S),8
Sutherland,35
Swan (C),28
Swan Hill (RC),7
Sydney,34
Tablelands (R),8
Tamworth Regional,36
Tasman (M),3
Tatiara (DC),9
Tea Tree Gully (C),13
Temora,6
Tenterfield,8
The Coorong (DC),18
The Hills,19
Toodyay (S),10
Toowoomba (R),28
Townsville (C),32
Towong (S),7
Trayning (S),1
Tumby Bay (DC),3
Tweed,39
Unincorporated,8
Unincorporated ACT,45
Unincorporated NT,19
Unincorporated SA,35
Unincorporated Vic,2
Unley (C),7
Upper Hunter,10
Upper Lachlan,12
Uralla,5
Victor Harbor (C),5
Victoria Daly (R),16
Victoria Park (T),3
Victoria Plains (S),8
Vincent (C),7
Wagait (S),1
Wagga Wagga,15
Wagin (S),2
Wakefield (DC),21
Walcha,9
Walgett,6
Wandering (S),5
Wangaratta (RC),13
Wanneroo (C),32
Waratah/Wynyard (M),10
Waroona (S),13
Warren,1
Warrnambool (C),7
Warrumbungle,17
Wattle Range (DC),20
Waverley,7
Weddin,3
Weipa (T),1
Wellington (S),16
Wentworth,9
West Arnhem (R),17
West Arthur (S),5
West Coast (M),8
West Daly (R),2
West Tamar (M),10
West Torrens (C),16
West Wimmera (S),6
Western Downs (R),15
Westonia (S),3
Whitehorse (C),10
Whitsunday (R),15
Whittlesea (C),15
Whyalla (C),8
Wickepin (S),1
Williams (S),4
Willoughby,9
Wingecarribee,26
Wodonga (C),3
Wollondilly,28
Wollongong,35
Wongan-Ballidu (S),2
Woollahra,4
Wudinna (DC),1
