Year,State,Fatality,Population
2015,Victoria,252,6093049
2015,Western Australia,159,2547745
2016,Australian Capital Territory,10,407489
2016,New South Wales,380,7801785
2016,Northern Territory,45,246183
2016,Queensland,251,4883821
2016,South Australia,86,1717400
2016,Tasmania,37,519810
2016,Victoria,290,6244863
2016,Western Australia,193,2563708
2017,Australian Capital Territory,5,415874
2017,New South Wales,389,7919815
2017,Northern Territory,31,246858
2017,Queensland,247,4963072
2017,South Australia,100,1728494
2017,Tasmania,32,524969
2017,Victoria,259,6387081
2017,Western Australia,159,2582563
2018,Australian Capital Territory,9,423169
2018,New South Wales,347,8036665
2018,Northern Territory,50,245796
2018,Queensland,245,5050651
2018,South Australia,80,1743594
2018,Tasmania,32,531777
2018,Victoria,213,6528601
2018,Western Australia,158,2606394
2019,Australian Capital Territory,6,427892
2019,New South Wales,355,8130159
2019,Northern Territory,36,244989
2019,Queensland,219,5133278
2019,South Australia,114,1759783
2019,Tasmania,29,537907
2019,Victoria,266,6655284
2019,Western Australia,163,2642120
2020,Australian Capital Territory,5,429834
2020,New South Wales,236,8157735
2020,Northern Territory,20,245353
2020,Queensland,193,5160023
2020,South Australia,67,1767247
2020,Tasmania,26,539590
2020,Victoria,160,6689377
2020,Western Australia,105,2656156
,,,
